Data,Valor,21,62,125,252
2018-09-17,80000,37,32,25,24
2018-09-18,79342,40,32,25,24
2018-09-19,78624,43,35,26,25
2018-09-20,81612,45,35,28,27
2018-09-21,83273,51,41,29,27
2018-09-24,82953,43,32,27,25
2018-09-25,82322,46,35,29,26
2018-09-26,86084,47,38,31,27
2018-09-27,86088,52,42,33,28
2018-09-28,83679,48,39,33,27
2018-10-01,82921,42,35,30,27
2018-10-02,83360,61,49,39,32
2018-10-03,85718,71,57,49,36
2018-10-04,85764,72,58,46,36
2018-10-05,83847,70,57,49,37
2018-10-08,84220,74,62,56,42
2018-10-09,85597,76,65,58,44
2018-10-10,85300,72,61,54,40
2018-10-11,83064,71,59,54,38
2018-10-15,84084,68,60,55,38
2018-10-16,85720,71,65,57,42
2018-10-17,83797,74,65,62,44
2018-10-18,86886,74,65,61,43
2018-10-19,87424,72,69,62,46
2018-10-22,88419,77,73,67,48
2018-10-23,89598,79,75,72,50
2018-10-24,88669,73,72,68,47
2018-10-25,87714,71,72,69,50
2018-10-26,85620,68,70,66,49
2018-10-29,85641,62,67,63,48
2018-10-30,85525,65,72,68,52
2018-10-31,84914,72,73,69,51
2018-11-01,85973,79,78,71,53
2018-11-05,88515,79,80,72,55
2018-11-06,87901,76,77,74,55
2018-11-07,87269,72,78,73,53
2018-11-08,87477,60,76,71,52
2018-11-09,86230,60,73,72,51
2018-11-12,85547,57,74,71,51
2018-11-13,87891,56,73,71,51
2018-11-14,89251,58,73,70,53
2018-11-16,89710,67,77,74,56
2018-11-19,89504,61,75,72,55
2018-11-21,89820,61,75,74,56
2018-11-22,88624,63,73,72,55
2018-11-23,89040,60,74,71,55
2018-11-26,88846,54,71,68,53
2018-11-27,88115,56,72,71,55
2018-11-28,85915,58,72,71,57
2018-11-29,86420,60,73,72,57
2018-11-30,86977,60,74,71,57
2018-12-03,87838,63,74,74,59
2018-12-04,87450,56,71,71,57
2018-12-05,86400,60,72,71,58
2018-12-06,86610,59,72,71,58
2018-12-07,85674,59,71,69,56
2018-12-10,85269,46,67,69,55
2018-12-11,85697,49,65,67,55
2018-12-12,85136,51,65,70,57
2018-12-13,85460,54,66,70,55
2018-12-14,87887,58,66,70,54
2018-12-17,91012,53,67,69,54
2018-12-18,91564,56,67,71,55
2018-12-19,91841,55,66,71,55
2018-12-20,91699,56,67,69,55
2018-12-21,92032,55,66,69,57
2018-12-26,93613,53,67,69,54
2018-12-27,93806,53,65,69,54
2018-12-28,93658,63,68,71,58
2019-01-02,94474,77,74,75,64
2019-01-03,94056,77,74,74,64
2019-01-04,94393,76,75,76,64
2019-01-07,95351,76,76,75,64
2019-01-08,96097,76,77,75,64
2019-01-09,96010,78,77,76,68
2019-01-10,95103,77,80,75,68
2019-01-11,96558,83,81,77,69
2019-01-14,97677,83,83,78,68
2019-01-15,95444,80,82,77,68
2019-01-16,95639,79,83,79,67
2019-01-17,96996,79,83,81,69
2019-01-18,97394,78,82,80,69
2019-01-21,97861,77,80,82,71
2019-01-22,98589,75,80,79,68
2019-01-23,98311,74,82,79,69
2019-01-24,94636,74,82,80,70
2019-01-28,94406,70,81,79,69
2019-01-29,95343,71,81,80,69
2019-01-30,94413,71,80,80,70
2019-01-31,96168,68,79,80,70
2019-02-01,95842,68,82,80,72
2019-02-04,98015,67,80,82,73
2019-02-05,97526,67,80,83,72
2019-02-06,96510,54,79,80,70
2019-02-07,97659,46,74,79,69
2019-02-08,96545,44,76,79,69
2019-02-11,96932,38,73,78,69
2019-02-12,97886,40,74,79,69
2019-02-13,97240,38,73,80,69
2019-02-14,97603,48,76,80,70
2019-02-15,97307,43,73,79,70
2019-02-18,95584,41,71,79,71
2019-02-19,94604,42,72,79,69
2019-02-20,94217,34,66,78,70
2019-02-21,94340,39,66,78,69
2019-02-22,95365,47,71,80,71
2019-02-25,98027,43,69,80,71
2019-02-26,97828,44,69,78,70
2019-02-27,98904,43,71,79,70
2019-02-28,98605,37,67,77,71
2019-03-01,99137,36,66,77,71
2019-03-06,99994,34,62,75,70
2019-03-07,99588,32,53,75,69
2019-03-08,98041,37,60,76,70
2019-03-11,96729,51,62,75,70
2019-03-12,93735,48,63,75,70
2019-03-13,93662,49,63,77,71
2019-03-14,95307,46,56,71,69
2019-03-15,91903,50,63,75,72
2019-03-18,94389,53,65,77,72
2019-03-19,95415,50,64,77,73
2019-03-20,96054,47,59,77,73
2019-03-21,95387,42,55,73,72
2019-03-22,94491,28,44,70,70
2019-03-25,96313,30,48,67,70
2019-03-26,97108,36,49,70,71
2019-03-27,97369,18,32,58,65
2019-03-28,96292,25,38,63,68
2019-03-29,95953,30,41,63,69
2019-04-01,94755,35,41,64,70
2019-04-02,92875,35,37,62,69
2019-04-03,93083,33,38,62,68
